auction_cat,auction_title,auction_price1,auction_price2,auction_del,auction_img,auction_url
브이넥티셔츠,"헨리모리스,브이넥 쿨티셔츠 CV-남자반팔/여름티/반팔티/브이넥티","8,910",,,http://image.auction.co.kr/itemimage/f7/a4/6c/f7a46c5f6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B344733936
브이넥티셔츠,CR베이직V넥7부티셔츠 남성 브이넥 오버핏 루즈핏,"13,410",,무료배송,http://image.auction.co.kr/itemimage/15/07/15/1507151986.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B523448214
브이넥티셔츠,쿨론 베이직 카라티 반팔 검정,"8,910",,,http://image.auction.co.kr/itemimage/18/37/dc/1837dc6806.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B645321669
브이넥티셔츠,~4XL 오버핏 루즈핏 반팔티/티셔츠/남자/남성/의류,"9,900",,무료배송,http://image.auction.co.kr/itemimage/18/5e/21/185e218cf6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A558049441
브이넥티셔츠,클론 티셔츠 브이넥반팔 기능성 단체티 단체티셔츠,"7,000",,,http://image.auction.co.kr/itemimage/18/70/f4/1870f49206.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B656149684
브이넥티셔츠,반팔 면티 티셔츠 빅사이즈 XL~2XL 오버핏 브이넥,"2,280",,,http://image.auction.co.kr/itemimage/15/ae/a4/15aea466a6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B532811231
브이넥티셔츠,리얼리T/국산/남여공용/반팔티/브이넥티/면티/무지티,"4,200",,무료배송,http://image.auction.co.kr/itemimage/11/36/84/113684a296.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B234127079
브이넥티셔츠,니까/브이넥/반팔/긴팔/7부/빅사이즈/면티/국산,"4,900",,무료배송,http://image.auction.co.kr/itemimage/16/bc/a9/16bca913f6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B271708493
브이넥티셔츠,면스판반팔티 브이넥 무지티  M~XXL 타투 짱짱한스판,"6,030",,,http://image.auction.co.kr/itemimage/d7/53/a6/d753a6f76.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B237472310
브이넥티셔츠,쿨론티 브이넥티 냉감티 반팔 쿨티 남녀공용 단체티,"5,850",,,http://image.auction.co.kr/itemimage/14/3b/92/143b921df6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B430779922
브이넥티셔츠,columbia 컬럼비아/반팔티셔츠/columbia polaris sho,"14,660",,,http://image.auction.co.kr/itemimage/18/40/71/1840715746.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B646936312
카라넥티셔츠,로드스타 4계절 짱짱한 신상 무지티셔츠,"3,200",,무료배송,http://image.auction.co.kr/itemimage/17/a6/53/17a6535346.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B517025211
카라넥티셔츠,반팔 카라티셔츠/3XL/무지티/쿨티/쿨론/빅사이즈/남자,"16,900",,무료배송,http://image.auction.co.kr/itemimage/15/19/d0/1519d006f6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A559032482
브이넥티셔츠,반팔R넥/V넥/YV/빅사이즈/뉴프린팅/4XL/바캉스/큰옷,"4,600",,,http://image.auction.co.kr/itemimage/18/53/2b/18532b1546.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B504371760
